start	end	text
0	5540	But these are what I would consider to be full-stack users of geographic information systems.
5760	13440	They create data, they analyze data, they integrate GIS data or location data with the business systems that run those groups,
13680	17060	and they communicate with the public.
17540	22080	So full-stack, they use the soup-to-nuts capabilities of a GIS technology.
23180	26820	So is this approach and is this technology relevant in government?
26820	29500	I'd say yes, we have evidence that it is.
30000	32400	This is a map of the United States, obviously.
33380	38480	The red dots represent the local governments that are using GIS as a core business system.
39580	42200	It's literally tens of thousands of organizations.
42420	49320	They range from large cities like Barcelona, like Madrid, like Singapore, like New York City,
49540	51700	all the way down to very small municipalities.
51940	57240	But it's proof that location and GIS is a core business system in government
57240	59900	and is essential for media.
60000	66320	There are four major areas that we see GIS really contributing to in government.
66320	73820	First and foremost, and I'm going to give you an example of one in just a few minutes that cover an example of my community, where I live,
73820	76820	how they use GIS for one specific thing that covers all of these.
76820	80500	But the first area is planning and engineering.
80500	86380	So the whole design of a community and how your community needs to be designed and how location can play a role in that.
86380	89380	The second is around operational efficiency.
90000	93220	So every government wants to provide good services to their citizens,
93220	96220	both their citizens and their internal constituents.
96220	99220	And location and spatial analytics can help drive that.
99220	104220	Improving services in terms of efficiency, making sure that we're providing services to the right people,
104220	107220	just making sure the very purpose of government is achieved.
107220	113220	The third, I would go into this lower left-hand quadrant, is the ability to use spatial data
113220	117220	to help make informed decisions or data-driven decisions.
117220	119220	Location is an essential component.
120000	122000	It's an essential component to that process.
122000	128000	I would say it's a favored framework for understanding data, understanding your communities,
128000	132000	and as a result, being able to make really effective decisions in your organization.
132000	135000	It's like no other technology that actually exists.
135000	140000	I often kid and say, you know, I've been in this business for 30 years,
140000	145000	and I've never seen a group of government officials huddled around a spreadsheet.
145000	146000	Not once.
146000	149000	But I see them huddled around the maps, and I see them looking at dashboards.
149000	150000	And that, to me, is really important.
150000	155000	It's proof in the pudding that there's something special about the use of geographic capabilities.
155000	159000	And the last component is around civic inclusion.
159000	163000	And I would use that as sort of a broad term, because I would say it's civic inclusion,
163000	169000	but it's also inclusion or collaboration within organizations as well.
169000	174000	There's something about using the geographic component that drives collaboration.
174000	178000	There's a whole additional presentation that can be given on why this is the case.
178000	179000	But there's something about using a map.
179000	187000	Using a location reference to look at data that just captivates people.
187000	191000	It helps identify ownership within a government.
191000	193000	Somebody owns everything.
193000	197000	If you have a school that's not performing well, someone's responsible.
197000	203000	If you have maintenance that's not being performed in a certain area, someone is responsible.
203000	208000	If you have crime in a certain area, there's someone that's responsible.
208000	214000	There's someone who's interested deeply in those characteristics or conditions in a given area.
214000	218000	And just by having that location component, it drives engagement.
218000	227000	On the civic side, we've heard for years the importance of communicating and collaborating with the public.
227000	230000	Governments are trying to do this all the time.
230000	233000	And one of the most common things that I hear from governments are,
233000	237000	we've invested a lot of time and energy in tools to engage the public,
237000	241000	and we just don't have the level of engagement that we're looking for.
241000	244000	We know from our experience in working with our customers
244000	247000	that where there's a location component in those engagement solutions,
247000	249000	there's an increased level of engagement.
249000	251000	So why is that?
251000	256000	People are interested in crime, schools, capital improvement projects,
256000	258000	whatever the subject may be.
258000	263000	But they're really interested in how their government and their community is performing
263000	266000	in relation to where they live and where they spend their time.
266000	269000	And that's why the location piece is so important there.
